"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"밀양시","2023.02 월","102682","50532","52150",
"거제시","2023.02 월","235638","123271","112367",
"양산시","2023.02 월","353744","177126","176618",
"양산시웅상출장소","2023.02 월","0","0","0",
"의령군","2023.02 월","25899","12859","13040",
"함안군","2023.02 월","61206","31279","29927",
"창녕군","2023.02 월","58154","29069","29085",
"고성군","2023.02 월","50103","25180","24923",
"남해군","2023.02 월","41417","20134","21283",
"하동군","2023.02 월","42283","21177","21106",
"산청군","2023.02 월","34103","16898","17205",
"함양군","2023.02 월","37446","18162","19284",
"거창군","2023.02 월","60324","29606","30718",
"합천군","2023.02 월","41979","20423","21556",
"제주특별자치도","2023.02 월","677090","339078","338012",
"제주시","2023.02 월","492613","246203","246410",
"서귀포시","2023.02 월","184477","92875","91602",
